name,lat,long,uniqueid,province,district(old),f_type,agency,coordinates,sourceofcoordinates,last updated
DAGAHALEY MISSION HOSPITAL,-0.19,40.29669,50008,NORTH EASTERN,GARISSA,Dispensary,MISS,-0.19 40.29669,Dispensary,"Thu, 28 Jul 2016 21:07:22 +0000"
ELBURGON DISTRICT HOSPITAL,-0.30325,35.80739,70498,RIFT VALLEY,NAKURU,Dispensary,MOH,-0.30325 35.80739,Dispensary,"Thu, 28 Jul 2016 21:07:23 +0000"
ELDAMA RAVINE DISTRICT HOSPITAL,0.04729,35.73015,70352,RIFT VALLEY,KOIBATEK,Dispensary,MOH,0.04729 35.73015,Dispensary,"Thu, 28 Jul 2016 21:07:23 +0000"
ELWAK SUB-DISTRICT HOSPITAL,2.80548,40.9304,50048,NORTH EASTERN,MANDERA,Dispensary,MOH,2.80548 40.9304,Dispensary,"Thu, 28 Jul 2016 21:07:24 +0000"
EMUHAYA DISTRICT HOSPITAL,0.03794,34.62632,80273,WESTERN,VIHIGA,Dispensary,MOH,0.03794 34.62632,Dispensary,"Thu, 28 Jul 2016 21:07:24 +0000"
ENDEBESS SUB-DISTRICT HOSPITAL,1.0734,34.8569,70832,RIFT VALLEY,TRANS NZOIA,Dispensary,MOH,1.0734 34.8569,Dispensary,"Thu, 28 Jul 2016 21:07:24 +0000"
FORCES MEMORIAL HOSPITAL,-1.30948,36.80334,40043,NAIROBI,NAIROBI,Dispensary,OTHER MIN,-1.30948 36.80334,Dispensary,"Thu, 28 Jul 2016 21:07:25 +0000"
FRANCISCAN CONVENT HOSPITAL,-1.2983,37.35908,30205,EASTERN,MACHAKOS,Dispensary,MISS,-1.2983 37.35908,2,"Thu, 28 Jul 2016 21:07:25 +0000"
GAICHANJIRU MISSION HOSPITAL,-0.85781,36.98316,10167,CENTRAL,MARAGUA,Dispensary,MISS,-0.85781 36.98316,Dispensary,"Thu, 28 Jul 2016 21:07:26 +0000"
GARBATULLA SUB-DISTRICT HOSPITAL,0.52697,38.51422,30115,EASTERN,ISIOLO,Dispensary,MOH,0.52697 38.51422,Dispensary,"Thu, 28 Jul 2016 21:07:26 +0000"
